coefficient_name,value,constrain
offset_not_worker__age_05_17_work1,-15.678068462638835,T
offset_not_worker__age_05_17_work2,-15.678068462638835,T
offset_not_worker__age_05_17_school1,-0.0021996411376285453,T
offset_not_worker__age_05_17_school2,-6.1207726987287945,T
offset_not_worker__age_05_17_work_and_school,-15.678068462638835,T
offset_not_worker__age_18_24_work1,-2.8657362265899415,T
offset_not_worker__age_18_24_work2,-15.143404712438405,T
offset_not_worker__age_18_24_school1,-0.07104868633376382,T
offset_not_worker__age_18_24_school2,-15.143404712438405,T
offset_not_worker__age_18_24_work_and_school,-4.453159042916462,T
offset_not_worker__age_25_44_work1,-0.4049656445687217,T
offset_not_worker__age_25_44_work2,-4.578000381221687,T
offset_not_worker__age_25_44_school1,-1.172661572935584,T
offset_not_worker__age_25_44_school2,-4.32887197970616,T
offset_not_worker__age_25_44_work_and_school,-14.576315215894919,T
offset_not_worker__age_45_64_work1,-0.01728361923618517,T
offset_not_worker__age_45_64_work2,-14.829330597675305,T
offset_not_worker__age_45_64_school1,-4.066688979847797,T
offset_not_worker__age_45_64_school2,-14.829330597675305,T
offset_not_worker__age_45_64_work_and_school,-14.829330597675305,T
offset_not_worker__age_65_plus_work1,-0.2112104908238475,T
offset_not_worker__age_65_plus_work2,-12.906253630124022,T
offset_not_worker__age_65_plus_school1,-1.6586863633618951,T
offset_not_worker__age_65_plus_school2,-12.906253630124022,T
offset_not_worker__age_65_plus_work_and_school,-12.906253630124022,T
offset_worker__age_05_17_work1,-0.8827811505235946,T
offset_worker__age_05_17_work2,-14.958394442616152,T
offset_worker__age_05_17_school1,-0.8614495110390171,T
offset_worker__age_05_17_school2,-14.958394442616152,T
offset_worker__age_05_17_work_and_school,-1.8089914524165507,T
offset_worker__age_18_24_work1,-0.14345269425180657,T
offset_worker__age_18_24_work2,-4.669183178530505,T
offset_worker__age_18_24_school1,-2.5605876457667143,T
offset_worker__age_18_24_school2,-3.965774243774803,T
offset_worker__age_18_24_work_and_school,-3.573923295021808,T
offset_worker__age_25_44_work1,-0.03635660165571185,T
offset_worker__age_25_44_work2,-3.558399693480437,T
offset_worker__age_25_44_school1,-5.100092871442519,T
offset_worker__age_25_44_school2,-17.924952097951756,T
offset_worker__age_25_44_work_and_school,-6.791690398587062,T
offset_worker__age_45_64_work1,-0.02351527131343615,T
offset_worker__age_45_64_work2,-3.776718491630232,T
offset_worker__age_45_64_school1,-7.9772044344178035,T
offset_worker__age_45_64_school2,-17.804640655114795,T
offset_worker__age_45_64_work_and_school,-17.804640655114795,T
offset_worker__age_65_plus_work1,-0.05645700844662057,T
offset_worker__age_65_plus_work2,-2.902378545136324,T
offset_worker__age_65_plus_school1,-15.870224813093662,T
offset_worker__age_65_plus_school2,-15.870224813093662,T
offset_worker__age_65_plus_work_and_school,-15.870224813093662,T
coef_work2_age_centered_decades,-0.033156535227091735,F
coef_work2_age_centered_decades_squared,0.03862814531635523,F
coef_work2_female,-0.3999039551566306,F
coef_work2_household_size_minus_one_clip_4,0.08015819715941787,F
coef_work2_workers_clip_3,-0.02155649681459773,F
coef_school1_age_centered_decades,-0.19236921842140617,F
coef_school1_age_centered_decades_squared,0.0919827101537113,F
coef_school1_female,-0.26790779545207394,F
coef_school1_household_size_minus_one_clip_4,-0.19676006059879034,F
coef_school1_workers_clip_3,-0.04283306908764413,F
coef_school2_age_centered_decades,0.8383160766608332,F
coef_school2_age_centered_decades_squared,0.33184292626642187,F
coef_school2_female,0.5388813308065581,F
coef_school2_household_size_minus_one_clip_4,0.3865114970142384,F
coef_school2_workers_clip_3,-0.28485451758093217,F
coef_work_and_school_age_centered_decades,0.5814541713723869,F
coef_work_and_school_age_centered_decades_squared,0.08231128305747047,F
coef_work_and_school_female,-0.7305309501739489,F
coef_work_and_school_household_size_minus_one_clip_4,0.0047932868900315015,F
coef_work_and_school_workers_clip_3,0.5318920336581265,F
