coefficient_name,value,constrain
offset_not_worker_not_student_work1,-0.0831972373226518,T
offset_not_worker_not_student_work2,-4.4886363697321405,T
offset_not_worker_not_student_school1,-3.076454437027248,T
offset_not_worker_not_student_school2,-4.4886363697321405,T
offset_not_worker_not_student_work_and_school,-4.4886363697321405,T
offset_not_worker_student_work1,-5.11368228164303,T
offset_not_worker_student_work2,-6.93439720992856,T
offset_not_worker_student_school1,-0.032266679100574285,T
offset_not_worker_student_school2,-3.751689858403588,T
offset_not_worker_student_work_and_school,-6.656203784859461,T
offset_worker_not_student_work1,-0.0345284453567603,T
offset_worker_not_student_work2,-3.4650928069095226,T
offset_worker_not_student_school1,-6.2360631879209825,T
offset_worker_not_student_school2,-7.941295570906533,T
offset_worker_not_student_work_and_school,-7.941295570906533,T
offset_worker_student_work1,-0.46411683722547314,T
offset_worker_student_work2,-4.248020548537985,T
offset_worker_student_school1,-1.4804736399928593,T
offset_worker_student_school2,-3.3921979704670076,T
offset_worker_student_work_and_school,-2.3449411405424354,T
coef_work2_age_centered_decades,0.11933831119798936,F
coef_work2_age_centered_decades_squared,0.04284123574866067,F
coef_work2_female,-0.0662372539683621,F
coef_work2_household_size_minus_one_clip_4,0.02588603911753531,F
coef_work2_workers_clip_3,-0.07938875774328857,F
coef_work2_vehicles_clip_4,0.0013776403024834648,F
coef_work2_no_vehicle,-0.027483430864109936,F
coef_school1_age_centered_decades,-0.1391641284349161,F
coef_school1_age_centered_decades_squared,0.13241059313039782,F
coef_school1_female,-0.04509121870092947,F
coef_school1_household_size_minus_one_clip_4,-0.14243388427062012,F
coef_school1_workers_clip_3,-0.11239905080220128,F
coef_school1_vehicles_clip_4,0.037478247920872246,F
coef_school1_no_vehicle,0.0014507779542047607,F
coef_school2_age_centered_decades,-0.045098561241553835,F
coef_school2_age_centered_decades_squared,0.12701804661567045,F
coef_school2_female,-0.021906067190169957,F
coef_school2_household_size_minus_one_clip_4,0.023776396018095915,F
coef_school2_workers_clip_3,0.02436880612170762,F
coef_school2_vehicles_clip_4,-0.1693816671075132,F
coef_school2_no_vehicle,-0.012503444998936275,F
coef_work_and_school_age_centered_decades,-0.06721539747882413,F
coef_work_and_school_age_centered_decades_squared,0.0535351712128934,F
coef_work_and_school_female,-0.055308104003889885,F
coef_work_and_school_household_size_minus_one_clip_4,-0.002794949814199989,F
coef_work_and_school_workers_clip_3,0.017178753141329283,F
coef_work_and_school_vehicles_clip_4,-0.040368501434870106,F
coef_work_and_school_no_vehicle,-0.0007555672588370369,F
