origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
1,43,123,49,5,0,9,0,1,3,2,1,1,2,1,1,2,1,0,1,1,2,0,2,6,1,86,2,3,46,3,2,1,0,1,53,14,1,2,2,1,1,105,104,6,2,2,3,19,8,7,1,58,3,113,12,1,578,96,42,3,1,2,7,1,2,3,2,1,2,2,91,127,88,1,94,6,1,1,1,2
2,17,186,40,4,0,7,0,1,2,2,1,0,2,1,1,1,0,0,1,1,2,0,1,5,1,80,2,2,41,2,2,1,0,1,44,11,1,1,1,1,0,76,94,5,2,1,2,14,6,5,1,44,2,94,9,0,551,81,33,2,0,1,6,1,2,2,2,1,1,1,82,111,74,1,79,4,1,0,1,2
3,29,174,926,16,1,25,1,3,8,7,3,2,6,2,3,5,1,1,4,2,6,1,4,19,4,227,7,9,151,8,6,3,1,2,69,40,3,5,5,3,2,229,340,18,7,5,9,55,22,21,4,81,10,183,33,2,1246,328,55,9,2,6,22,3,7,8,7,3,5,5,195,364,471,2,752,17,3,2,3,6
4,2,10,9,504,17,179,5,23,100,74,17,25,18,16,40,46,7,9,22,17,93,11,60,92,15,11,51,141,6,41,81,19,4,14,4,305,12,15,53,23,12,63,13,257,41,32,110,639,267,216,64,6,41,15,225,8,65,11,4,41,16,51,219,22,43,54,38,16,10,32,9,14,12,17,18,43,27,10,31,96
5,0,1,1,26,7,18,1,5,9,7,3,3,2,2,4,6,1,1,4,3,10,1,6,13,2,1,11,12,1,7,8,2,1,3,1,33,1,2,6,3,2,8,2,24,8,7,14,64,25,22,5,1,6,2,25,1,9,1,1,6,2,11,21,2,5,6,6,2,1,3,1,2,2,3,2,5,3,1,5,9
6,1,3,2,33,2,175,1,4,23,15,3,3,8,3,6,8,3,1,4,3,12,5,10,19,3,3,8,20,2,7,14,4,1,2,1,103,5,6,11,4,2,19,4,40,7,5,17,135,59,52,9,2,9,4,78,2,19,3,1,8,3,7,64,9,11,24,8,3,4,9,3,4,4,3,5,14,4,2,4,13
7,0,2,2,19,3,17,6,14,8,6,3,3,2,2,3,5,1,1,5,6,8,1,5,13,2,2,19,10,1,8,7,2,1,9,1,34,1,2,6,2,1,10,2,20,25,12,13,57,21,21,4,1,6,3,27,1,11,2,1,6,2,15,19,2,7,6,9,3,1,3,2,2,2,4,3,7,2,1,3,7
8,0,2,2,26,4,23,4,31,10,8,3,4,3,2,4,7,1,1,7,8,11,1,7,17,3,2,27,13,1,11,9,3,1,10,1,44,2,3,8,3,2,13,3,27,27,16,17,76,29,28,6,1,8,3,35,1,14,2,1,8,3,21,26,3,8,7,11,3,2,4,2,3,3,6,4,9,3,2,5,10
9,2,13,12,257,15,329,5,23,319,107,20,23,29,20,46,53,12,10,23,17,90,19,68,112,18,15,50,159,9,45,98,25,5,15,6,468,20,23,66,28,14,87,18,298,42,32,113,878,428,307,78,9,50,20,341,10,88,15,5,49,20,49,368,41,56,91,45,18,16,49,12,19,17,18,24,61,32,12,30,97
10,1,5,5,94,6,103,2,9,53,105,10,8,10,11,24,29,4,5,10,6,29,5,21,57,9,6,20,49,3,21,29,13,3,6,2,137,9,8,20,15,7,34,7,90,16,13,37,250,115,87,25,3,25,8,102,5,35,6,2,24,6,18,100,15,18,27,15,9,6,26,5,8,7,6,9,21,18,6,15,31
11,0,2,2,17,2,17,1,3,8,8,23,2,2,3,4,10,1,2,7,2,6,1,4,52,9,2,8,8,1,20,5,6,2,2,1,25,2,2,4,5,4,11,3,16,6,6,8,43,18,16,4,1,24,3,19,4,12,2,1,25,1,5,16,2,4,5,4,12,1,5,2,3,2,2,3,5,4,5,4,6
12,1,7,6,155,14,112,5,21,56,39,11,42,13,9,20,26,4,5,16,16,72,7,45,57,10,8,43,80,4,28,56,11,3,13,3,220,7,11,43,13,7,44,9,169,36,26,107,446,164,156,34,4,26,10,166,5,45,8,3,26,14,48,141,13,36,37,33,10,7,18,6,10,9,17,12,32,15,6,18,61
13,2,9,7,39,3,88,1,6,24,16,5,4,94,4,7,10,5,2,6,4,15,5,12,28,5,9,12,23,5,12,17,6,1,4,4,140,7,26,15,5,3,65,12,47,12,8,22,158,63,63,11,6,14,13,121,3,56,10,3,13,5,11,67,9,20,28,17,5,18,11,8,12,10,5,15,56,6,3,5,15
14,0,3,2,35,3,38,1,4,17,20,7,3,4,16,9,22,2,4,6,3,11,2,8,42,6,3,10,18,2,13,11,10,2,3,1,51,4,3,7,13,6,17,4,32,8,7,14,90,40,32,9,2,18,4,39,3,18,3,1,17,2,8,35,5,7,10,6,6,3,14,2,4,3,3,5,9,10,5,8,11
15,0,2,2,38,3,31,1,4,17,18,4,3,3,4,17,11,1,2,4,2,11,2,8,20,3,2,8,18,1,8,11,4,1,2,1,46,3,3,7,6,3,11,2,33,6,5,14,88,39,30,9,1,9,3,34,2,12,2,1,9,2,7,33,4,6,9,6,3,2,8,2,3,2,2,3,7,7,2,6,12
16,1,3,3,47,4,44,1,6,21,23,11,4,5,10,12,62,2,6,9,4,15,2,10,59,9,4,15,23,2,21,14,12,2,4,2,63,4,4,10,18,9,21,5,42,11,11,19,114,50,40,11,2,24,5,48,5,22,4,1,24,3,12,43,6,9,12,9,9,3,14,3,5,4,4,6,11,13,7,12,15
17,1,5,4,36,3,100,1,4,24,18,4,4,13,4,7,10,14,2,5,3,13,4,10,26,4,5,9,21,3,10,15,6,1,3,2,108,9,9,12,5,3,32,6,42,9,6,18,138,60,53,10,3,12,7,86,2,31,5,2,12,4,9,62,11,13,24,10,4,8,12,4,7,6,4,8,21,6,3,5,14
18,0,2,1,23,2,20,1,3,10,10,5,2,2,4,6,16,1,5,5,2,7,1,5,25,4,2,8,11,1,10,6,5,1,2,1,30,2,2,5,7,4,9,2,20,5,5,9,54,23,19,5,1,11,2,22,2,10,2,1,11,1,6,20,3,4,6,4,4,1,6,1,2,2,2,3,5,6,3,6,7
19,1,5,5,50,6,46,3,14,20,18,16,6,6,6,10,21,2,4,113,7,18,3,12,68,14,6,39,24,4,70,16,10,4,8,2,76,4,5,12,10,6,31,7,47,27,37,25,132,53,47,11,3,34,8,59,6,36,6,2,35,4,22,47,6,13,14,15,17,4,11,5,8,7,6,10,16,9,7,12,17
20,0,1,1,13,2,11,1,5,5,4,1,2,2,1,2,3,0,1,3,8,6,1,4,7,1,1,8,7,1,4,5,1,0,4,0,24,1,1,4,1,1,6,1,14,9,5,9,40,15,15,3,1,3,1,19,1,6,1,0,3,2,10,13,1,5,4,6,1,1,2,1,1,1,4,2,5,1,1,2,5
21,1,7,6,172,12,126,4,18,65,43,11,21,14,9,22,27,5,5,15,13,137,8,54,57,10,8,37,97,4,27,68,12,3,11,3,244,8,12,47,13,7,45,10,208,31,23,103,525,195,179,40,5,26,11,181,5,46,8,3,26,14,40,165,14,36,41,31,10,7,20,6,10,9,14,12,33,15,6,18,75
22,1,4,4,52,3,129,1,6,36,21,5,5,11,4,9,11,4,2,6,4,21,14,17,26,4,5,12,33,3,11,24,6,1,4,2,187,6,9,19,6,3,28,6,67,11,8,28,234,99,93,15,3,12,6,137,2,27,5,2,12,6,12,113,12,19,42,14,4,5,11,4,6,5,5,7,22,6,3,6,21
23,4,20,18,441,30,399,11,47,196,121,29,53,42,25,59,72,15,14,39,36,215,25,286,156,26,23,97,276,13,72,229,32,7,31,9,810,24,37,157,36,19,133,28,637,85,60,290,1790,623,609,113,13,71,31,594,13,134,23,8,70,45,105,541,44,115,134,93,27,22,56,18,29,25,41,36,103,42,17,47,204
24,1,6,5,50,5,55,2,8,24,24,29,5,7,10,12,31,3,5,17,5,17,3,12,423,31,7,20,25,4,46,16,25,10,5,3,79,6,6,11,16,13,36,9,47,15,16,22,133,57,48,12,4,100,9,61,18,41,7,2,98,4,15,51,7,12,15,12,27,5,18,6,9,8,5,11,16,12,16,12,17
25,0,2,2,16,2,19,1,3,8,8,10,2,3,3,4,9,1,2,7,2,6,1,4,63,39,3,7,8,2,21,5,7,6,2,1,27,2,2,4,5,4,14,3,16,6,6,8,45,19,16,4,2,46,4,21,7,17,3,1,45,1,5,17,2,4,5,4,11,2,5,2,4,3,2,5,6,4,4,4,6
26,10,67,43,4,0,6,0,1,2,2,1,0,2,0,1,1,0,0,1,0,1,0,1,5,1,209,2,2,65,2,1,1,0,1,27,10,1,1,1,1,0,62,134,4,2,1,2,13,5,5,1,31,2,77,8,0,643,80,21,2,0,1,5,1,2,2,2,1,1,1,69,112,82,1,96,4,1,0,1,1
27,1,5,5,70,10,58,7,33,27,22,11,9,8,6,12,20,2,4,24,15,27,3,18,51,9,6,167,34,4,34,23,9,2,18,2,107,5,7,18,10,5,34,8,69,52,54,41,190,73,69,15,4,24,8,83,4,36,6,2,24,7,46,65,7,19,18,24,11,4,11,5,8,7,11,10,21,10,6,14,25
28,2,10,9,256,15,201,5,21,113,71,15,23,20,14,35,40,7,8,20,16,95,12,68,84,14,11,45,265,6,37,95,18,4,14,4,351,13,17,60,20,10,64,14,307,38,29,113,763,323,254,71,6,38,15,256,7,65,11,4,37,18,47,259,24,47,62,39,14,11,31,9,14,12,17,18,46,24,9,26,106
29,27,180,150,12,1,19,1,2,6,5,2,1,5,1,2,4,1,1,3,2,4,1,3,14,3,338,5,6,387,6,4,3,1,2,71,29,2,3,4,2,1,180,469,13,5,4,6,40,16,15,3,83,7,203,24,1,1628,256,57,7,1,4,16,2,5,6,5,2,3,3,199,347,283,2,347,12,2,1,2,4
30,1,8,7,63,7,62,3,14,27,26,31,7,9,9,13,31,3,6,48,8,22,3,15,130,29,9,38,31,5,310,20,17,7,9,3,98,6,7,15,15,10,44,11,60,28,33,30,167,69,60,14,5,68,11,76,11,50,9,3,70,5,24,62,8,15,18,17,38,5,16,7,11,10,7,14,21,12,13,16,21
31,4,22,19,467,31,445,11,47,222,133,30,52,46,27,64,77,16,15,41,36,213,28,180,166,28,24,97,304,14,75,399,35,8,31,10,876,26,39,160,39,20,141,30,705,85,61,278,2010,715,664,126,14,76,33,638,14,142,24,8,74,46,104,611,49,118,148,94,29,24,61,19,31,27,41,39,108,45,18,49,215
32,1,8,7,70,6,84,2,10,36,38,23,7,11,17,17,43,4,7,16,6,23,4,16,169,23,9,23,36,5,40,22,85,7,6,4,114,10,8,16,24,18,47,11,67,18,17,30,190,83,68,17,5,71,12,87,15,52,9,3,67,5,18,75,12,16,22,15,20,7,31,7,11,10,6,14,22,18,15,15,23
33,1,5,4,32,3,37,1,6,15,15,19,3,5,6,7,18,2,3,12,3,11,2,8,135,39,6,14,16,3,36,10,15,20,4,2,54,4,4,8,9,7,28,7,31,11,11,15,89,38,32,8,3,106,7,42,16,32,6,2,94,3,10,34,5,8,10,8,20,3,11,4,7,6,3,9,12,7,9,8,11
34,0,2,2,26,3,23,5,16,10,8,3,4,3,2,4,6,1,1,7,9,11,1,7,16,3,3,23,13,2,10,9,3,1,23,1,47,2,3,8,3,2,15,3,27,36,14,17,79,29,29,6,2,8,3,37,1,15,3,1,8,3,20,27,3,9,8,14,3,2,4,2,3,3,6,4,10,3,2,4,10
35,18,107,38,5,0,7,0,1,2,2,1,1,2,1,1,2,0,0,1,1,2,0,1,5,1,78,2,2,40,2,2,1,0,1,86,12,1,1,1,1,0,86,89,5,2,1,3,16,6,6,1,56,3,113,10,1,534,74,43,3,1,2,6,1,2,2,2,1,1,1,74,102,69,1,76,5,1,0,1,2
36,4,23,20,280,20,519,9,36,168,99,24,32,61,21,44,57,19,11,31,28,121,35,101,134,23,26,72,177,15,58,139,28,6,24,10,2445,27,55,131,29,16,156,31,382,69,46,179,1390,512,598,78,15,62,35,1115,12,151,26,9,60,44,75,577,49,148,221,97,23,29,52,20,32,28,34,41,141,32,14,33,120
37,1,8,7,56,4,119,2,7,36,31,8,5,16,8,12,20,8,3,8,5,20,5,15,54,9,9,15,32,5,18,21,13,3,4,3,133,44,10,16,11,6,51,11,62,13,11,27,191,85,72,15,5,25,12,104,5,51,9,3,24,5,14,84,17,17,28,14,8,11,27,7,11,9,5,14,26,10,5,9,21
38,1,7,6,38,3,80,1,6,22,15,4,4,31,4,7,9,4,2,6,5,16,4,12,25,4,8,12,23,5,11,17,5,1,4,3,148,6,66,15,5,3,54,10,47,12,8,23,159,62,65,10,5,12,11,132,2,47,8,3,12,6,12,66,8,23,28,19,4,11,9,6,10,9,5,13,70,5,3,5,15
39,3,18,16,298,22,342,9,38,147,89,22,38,39,19,42,53,13,10,31,31,143,22,121,120,20,20,76,186,11,55,156,25,6,26,8,811,20,35,272,27,14,117,24,421,71,48,225,1451,473,576,78,12,55,27,603,10,117,20,7,54,49,84,457,36,122,125,90,21,20,43,16,25,22,37,32,98,30,13,34,133
40,0,2,2,31,3,30,1,4,14,16,7,3,3,8,8,23,1,4,6,2,10,2,7,39,6,3,9,15,1,13,9,9,2,2,1,43,3,3,6,21,6,14,3,28,7,7,12,76,33,27,7,1,16,3,32,3,15,3,1,16,2,7,29,4,6,8,6,6,2,10,2,3,3,2,4,7,9,5,7,10
41,0,2,2,24,2,25,1,3,11,12,8,2,3,6,6,18,1,3,6,2,8,1,5,51,7,3,8,12,1,14,7,10,2,2,1,36,3,2,5,9,13,13,3,23,6,6,10,62,27,22,6,1,20,3,27,4,15,3,1,20,2,6,24,3,5,7,5,7,2,9,2,3,3,2,4,7,6,6,6,8
42,7,38,26,13,1,22,1,3,7,6,2,1,7,2,2,4,1,1,3,2,5,1,4,14,3,37,5,7,21,6,5,3,1,2,18,36,2,5,4,2,1,1651,45,15,5,4,7,47,19,18,3,27,7,60,30,1,230,38,16,7,2,4,19,3,6,7,6,2,5,4,32,49,40,2,51,17,2,1,2,5
43,14,91,75,5,0,9,0,1,3,2,1,1,2,1,1,2,0,0,1,1,2,0,2,6,1,155,2,3,104,3,2,1,0,1,35,14,1,2,2,1,1,86,390,6,2,2,3,19,8,7,1,40,3,96,11,1,790,137,28,3,1,2,7,1,2,3,2,1,2,2,104,187,147,1,166,6,1,1,1,2
44,2,13,12,318,20,274,7,30,144,88,20,33,28,18,43,51,10,10,26,22,138,17,107,108,18,15,62,208,9,48,150,22,5,19,6,514,17,23,92,26,13,87,18,730,53,39,170,1157,445,382,85,9,49,20,375,9,89,15,5,48,27,66,368,31,70,88,57,19,15,40,12,19,17,25,24,65,30,12,32,147
45,1,5,5,53,7,50,9,32,22,17,7,7,8,4,9,14,2,3,16,16,22,3,15,37,7,6,50,27,4,24,19,6,2,26,2,99,4,7,17,7,4,33,7,57,182,35,35,163,61,61,12,4,18,8,79,3,36,6,2,18,6,38,56,6,20,17,30,8,4,9,5,8,7,13,10,23,7,4,9,20
