GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,jobs_source,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population,households
060570012103,Block Group 3 (Tract 001210),1,-120.2323773,39.3641937,1.954328,42,lodes_wac_bg,6,4,4,2,3,704,276
060570012102,Block Group 2 (Tract 001210),2,-120.221808,39.3502525,0.81252,430,lodes_wac_bg,64,39,43,17,30,631,248
060570012052,Block Group 2 (Tract 001205),3,-120.0979181,39.3683766,2.690992,309,lodes_wac_bg,46,28,31,12,22,2153,844
060570005023,Block Group 3 (Tract 000502),4,-121.0709609,39.2005466,1.897219,833,lodes_wac_bg,125,75,83,33,58,1736,680
060570003001,Block Group 1 (Tract 000300),5,-121.1238147,39.196113,10.242528,59,lodes_wac_bg,9,5,6,2,4,188,74
060570007014,Block Group 4 (Tract 000701),6,-120.9845651,39.2245997,4.152038,1049,lodes_wac_bg,157,94,105,42,73,414,162
060570004012,Block Group 2 (Tract 000401),7,-121.2038615,39.2331612,0.713191,21,lodes_wac_bg,3,2,2,1,1,200,78
060570004014,Block Group 4 (Tract 000401),8,-121.1949808,39.2248361,1.190816,115,lodes_wac_bg,17,10,12,5,8,265,104
060570006023,Block Group 3 (Tract 000602),9,-121.0288554,39.2059475,2.282784,358,lodes_wac_bg,54,32,36,14,25,2254,884
060570007022,Block Group 2 (Tract 000702),10,-121.0300834,39.1748848,6.412065,276,lodes_wac_bg,41,25,28,11,19,755,296
060570001052,Block Group 2 (Tract 000105),11,-121.0997237,39.0743416,4.694531,95,lodes_wac_bg,14,9,10,4,7,202,79
060570005024,Block Group 4 (Tract 000502),12,-121.0963524,39.2211157,1.717052,48,lodes_wac_bg,7,4,5,2,3,1137,446
060570008013,Block Group 3 (Tract 000801),13,-120.8972684,39.2931532,19.484638,118,lodes_wac_bg,18,11,12,5,8,585,229
060570001022,Block Group 2 (Tract 000102),14,-121.0358911,39.1356222,2.372105,60,lodes_wac_bg,9,5,6,2,4,317,125
060570001041,Block Group 1 (Tract 000104),15,-121.0540695,39.1741938,1.449631,132,lodes_wac_bg,20,12,13,5,9,261,103
060570001023,Block Group 3 (Tract 000102),16,-121.0649319,39.1317519,1.81824,195,lodes_wac_bg,29,18,20,8,14,422,165
060570007011,Block Group 1 (Tract 000701),17,-120.9363089,39.2184182,10.14698,23,lodes_wac_bg,3,2,2,1,2,447,175
060570001043,Block Group 3 (Tract 000104),18,-121.0778912,39.1371687,2.022412,31,lodes_wac_bg,5,3,3,1,2,192,75
060570002001,Block Group 1 (Tract 000200),19,-121.2159039,39.1095234,44.674031,108,lodes_wac_bg,16,10,11,4,8,553,217
060570004011,Block Group 1 (Tract 000401),20,-121.1629382,39.2479449,4.115491,83,lodes_wac_bg,12,7,8,3,6,125,49
060570005022,Block Group 2 (Tract 000502),21,-121.0769229,39.2198866,0.512285,314,lodes_wac_bg,47,28,31,13,22,1259,494
060570007013,Block Group 3 (Tract 000701),22,-121.0020331,39.2349951,1.290467,35,lodes_wac_bg,5,3,4,1,2,627,246
060570005041,Block Group 1 (Tract 000504),23,-121.0658452,39.2283513,0.352408,114,lodes_wac_bg,17,10,11,5,8,3851,1510
060570001071,Block Group 1 (Tract 000107),24,-121.0578499,39.0634852,7.118883,589,lodes_wac_bg,88,53,59,24,41,710,279
060570001061,Block Group 1 (Tract 000106),25,-121.0788879,39.0221631,4.138837,99,lodes_wac_bg,15,9,10,4,7,236,93
060570012071,Block Group 1 (Tract 001207),26,-120.1889493,39.320816,0.721031,508,lodes_wac_bg,76,46,51,20,36,664,260
060570004041,Block Group 1 (Tract 000404),27,-121.1927586,39.1952319,2.187402,238,lodes_wac_bg,36,21,24,10,17,691,271
060570006021,Block Group 1 (Tract 000602),28,-121.057778,39.2116319,0.3791,453,lodes_wac_bg,68,41,45,18,32,1832,718
060570012073,Block Group 3 (Tract 001207),29,-120.1696643,39.3199714,0.595251,230,lodes_wac_bg,34,21,23,9,16,1897,744
060570002002,Block Group 2 (Tract 000200),30,-121.1747298,39.0664927,30.857269,234,lodes_wac_bg,35,21,23,9,16,796,312
060570005044,Block Group 4 (Tract 000504),31,-121.0585498,39.2261276,0.270537,204,lodes_wac_bg,31,18,20,8,14,4181,1639
060570001072,Block Group 2 (Tract 000107),32,-121.0162605,39.0955235,10.609658,77,lodes_wac_bg,12,7,8,3,5,785,308
060570001074,Block Group 4 (Tract 000107),33,-121.062789,39.0291662,0.249214,10,lodes_wac_bg,2,1,1,0,1,467,183
060570004013,Block Group 3 (Tract 000401),34,-121.2024469,39.2448022,1.154067,71,lodes_wac_bg,11,6,7,3,5,271,107
060570012101,Block Group 1 (Tract 001210),35,-120.2373072,39.3480707,1.19825,169,lodes_wac_bg,25,15,17,7,12,623,244
060570008022,Block Group 2 (Tract 000802),36,-121.0205104,39.2572784,2.089613,1943,lodes_wac_bg,291,175,194,78,136,4052,1589
060570007012,Block Group 2 (Tract 000701),37,-120.930177,39.1735992,12.028157,45,lodes_wac_bg,7,4,4,2,3,654,257
060570008012,Block Group 2 (Tract 000801),38,-120.94041,39.3158717,30.729111,93,lodes_wac_bg,14,8,9,4,7,563,221
060570008024,Block Group 4 (Tract 000802),39,-121.0609377,39.2462871,2.465111,161,lodes_wac_bg,24,14,16,6,11,3173,1244
