origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,24542,1250,989,2772,251,242,1369,4905,66,525,184,156,109,692,474,1465,244,591,8241,333,289,783,3439,449,525,802
2,1250,3762,222,297,81,89,157,663,24,193,238,57,40,213,95,373,90,420,804,91,296,300,486,181,296,140
3,989,222,1444,199,123,47,161,402,12,100,37,30,21,119,276,176,48,95,671,63,63,94,402,67,160,98
4,2770,297,199,1317,52,58,248,1210,16,127,43,37,26,169,94,391,58,139,1824,70,66,200,665,103,115,203
5,251,81,123,52,136,14,39,111,4,29,14,9,6,33,44,49,14,33,164,21,25,29,108,23,79,25
6,242,89,47,58,14,5841,30,110,360,3267,16,1811,791,402,20,127,2086,30,182,12,20,35,79,18,36,52
7,1368,157,161,248,39,30,411,491,8,64,24,19,13,82,79,157,30,74,825,49,38,88,509,57,75,87
8,4904,663,402,1211,111,110,491,4975,30,240,95,71,50,311,189,698,111,324,2803,162,147,458,1498,248,251,334
9,66,24,12,16,4,359,8,30,321,1221,4,264,246,125,5,36,255,8,50,3,5,9,21,5,9,15
10,525,193,100,127,29,3268,64,240,1223,21460,35,2292,1820,953,42,285,2270,65,397,25,43,76,171,39,76,115
11,184,237,37,43,14,16,24,94,4,35,144,10,7,37,15,57,17,51,120,13,57,39,71,24,58,22
12,156,57,30,38,9,1810,19,71,264,2290,10,2298,617,268,13,83,1104,19,118,7,13,22,51,11,23,34
13,109,40,21,26,6,791,13,50,246,1820,7,618,996,201,9,59,539,13,83,5,9,16,36,8,16,24
14,692,213,119,169,33,401,82,311,125,953,37,269,201,9579,51,433,374,76,540,30,47,94,216,46,82,183
15,474,95,276,94,44,20,79,189,5,42,16,13,9,51,238,79,20,42,321,29,26,42,193,30,63,45
16,1465,373,176,391,49,127,157,699,36,285,57,83,59,433,79,3775,126,146,1148,55,76,215,423,91,121,394
17,244,90,48,59,14,2087,30,111,256,2270,17,1105,539,375,20,126,7285,31,184,12,21,35,80,18,37,52
18,591,420,95,139,34,30,74,324,8,65,51,19,13,76,42,145,31,423,366,46,84,144,239,105,105,58
19,8242,804,672,1825,164,182,826,2804,50,397,121,118,83,540,321,1148,184,367,13263,197,185,495,1918,269,339,705
20,333,91,63,70,21,12,49,162,3,25,13,7,5,30,29,55,12,46,197,69,24,42,163,37,46,26
21,289,296,63,66,26,20,38,147,5,43,57,13,9,47,26,76,21,84,185,24,235,57,118,41,113,31
22,782,300,94,200,29,35,88,458,9,76,39,22,16,94,42,215,35,144,494,42,57,469,277,89,80,80
23,3438,486,402,665,108,79,509,1498,21,171,72,51,36,216,193,423,80,239,1917,163,118,278,2924,191,221,217
24,449,181,67,103,23,18,57,248,5,39,24,11,8,46,30,91,18,105,269,37,41,89,191,150,62,39
25,524,295,160,115,79,36,75,250,9,76,58,23,16,82,63,121,37,105,338,46,113,80,221,62,928,55
26,801,140,98,203,25,52,87,334,15,115,22,34,24,183,44,394,52,58,705,26,31,80,217,39,55,778
