geoid,total_hh,sz_1,sz_2,sz_3,sz_4p,inc_1,inc_2,inc_3,inc_4
06057000102,2795,36,666,1216,877,548,269,1239,739
06057000104,1424,91,347,565,421,333,367,543,181
06057000105,1063,21,154,389,499,163,134,485,281
06057000106,695,15,94,277,309,180,52,236,227
06057000107,2530,23,527,1127,853,349,319,1200,662
06057000200,1098,17,184,406,491,177,193,348,380
06057000300,1014,26,205,324,459,135,153,458,268
06057000401,2258,116,662,740,740,407,465,955,431
06057000403,777,9,96,266,406,141,106,331,199
06057000404,1620,52,344,672,552,387,336,644,253
06057000502,2216,0,841,1011,364,686,359,956,215
06057000503,598,47,80,244,227,117,155,164,162
06057000504,2281,341,1111,610,219,543,626,832,280
06057000601,1343,344,769,208,22,668,286,348,41
06057000602,2079,184,849,654,392,797,357,647,278
06057000701,2801,28,450,1047,1276,477,350,1313,661
06057000702,1708,60,325,755,568,489,253,643,323
06057000801,2112,40,396,956,720,676,350,548,538
06057000802,3013,44,1088,1137,744,522,666,1109,716
06057000900,1620,63,448,697,412,449,244,649,278
06057001205,1734,89,139,755,751,233,115,677,709
06057001207,2029,17,499,817,696,347,160,892,630
06057001208,739,6,179,386,168,154,48,162,375
06057001209,687,0,252,333,102,52,110,347,178
06057001210,718,18,201,346,153,68,68,175,407
06057001211,463,0,147,235,81,54,92,138,179
