origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1,252.0,32.0,12.0,16.0,36.0,16.0,28.0,24.0,20.0,60.0,0.0,20.0,4.0,8.0,16.0,0.0,8.0,152.0,16.0,68.0,12.0,20.0,4.0,4.0,0.0,4.0,8.0,0.0,48.0,12.0,12.0,16.0,0.0,12.0,12.0,16.0,20.0,4.0,28.0,24.0,12.0,0.0,0.0,16.0,8.0,12.0,0.0,16.0,8.0,16.0,16.0,4.0,0.0,116.0,0.0,8.0,16.0,4.0,0.0,8.0,4.0,12.0,12.0,12.0,4.0,4.0,20.0,16.0,12.0,8.0,0.0,56.0,124.0,0.0,8.0,20.0,72.0,100.0,0.0,8.0,20.0,76.0,28.0,0.0,0.0,24.0,16.0,0.0,20.0,36.0,116.0,0.0
2,8.0,48.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,12.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,8.0,4.0,0.0,20.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,8.0,0.0,16.0,0.0,0.0,16.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,8.0,12.0,0.0,4.0,0.0,12.0,0.0
3,0.0,0.0,104.0,8.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0
4,88.0,52.0,44.0,488.0,88.0,60.0,68.0,104.0,44.0,76.0,48.0,52.0,52.0,60.0,104.0,4.0,56.0,184.0,16.0,128.0,64.0,32.0,20.0,60.0,0.0,52.0,28.0,0.0,28.0,100.0,68.0,28.0,36.0,36.0,32.0,44.0,56.0,36.0,76.0,52.0,16.0,16.0,4.0,36.0,36.0,76.0,8.0,128.0,100.0,104.0,92.0,108.0,8.0,104.0,24.0,8.0,48.0,4.0,0.0,0.0,20.0,24.0,36.0,36.0,40.0,28.0,48.0,64.0,28.0,4.0,4.0,24.0,120.0,0.0,60.0,72.0,48.0,84.0,0.0,56.0,16.0,84.0,32.0,28.0,56.0,80.0,56.0,0.0,60.0,60.0,104.0,0.0
5,28.0,4.0,0.0,8.0,304.0,20.0,56.0,16.0,8.0,36.0,20.0,8.0,64.0,12.0,8.0,0.0,96.0,36.0,16.0,8.0,52.0,24.0,8.0,24.0,0.0,44.0,12.0,0.0,20.0,112.0,48.0,20.0,24.0,8.0,32.0,36.0,12.0,8.0,56.0,24.0,24.0,0.0,4.0,20.0,20.0,28.0,0.0,12.0,28.0,20.0,8.0,12.0,0.0,36.0,12.0,16.0,20.0,0.0,0.0,0.0,8.0,20.0,24.0,12.0,0.0,68.0,4.0,4.0,8.0,8.0,8.0,48.0,20.0,0.0,4.0,20.0,16.0,28.0,0.0,20.0,12.0,40.0,8.0,4.0,4.0,24.0,24.0,0.0,8.0,32.0,20.0,0.0
6,36.0,8.0,24.0,36.0,12.0,272.0,16.0,40.0,32.0,128.0,12.0,16.0,12.0,16.0,40.0,0.0,12.0,28.0,20.0,24.0,8.0,32.0,12.0,32.0,0.0,12.0,8.0,0.0,48.0,28.0,0.0,48.0,8.0,20.0,56.0,12.0,36.0,0.0,16.0,28.0,12.0,4.0,0.0,16.0,16.0,28.0,0.0,28.0,20.0,24.0,36.0,20.0,4.0,32.0,8.0,0.0,72.0,4.0,0.0,4.0,8.0,28.0,0.0,16.0,20.0,4.0,36.0,0.0,20.0,0.0,0.0,16.0,76.0,16.0,16.0,4.0,12.0,40.0,0.0,4.0,12.0,64.0,12.0,4.0,20.0,96.0,52.0,0.0,48.0,52.0,20.0,0.0
7,12.0,0.0,0.0,0.0,36.0,16.0,280.0,8.0,0.0,20.0,0.0,0.0,44.0,12.0,8.0,0.0,40.0,20.0,0.0,0.0,12.0,20.0,4.0,8.0,0.0,16.0,4.0,0.0,0.0,76.0,12.0,0.0,4.0,4.0,16.0,0.0,0.0,16.0,8.0,8.0,16.0,0.0,0.0,8.0,4.0,0.0,12.0,4.0,4.0,4.0,4.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,12.0,4.0,0.0,8.0,8.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,8.0,4.0,4.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,8.0,8.0,8.0,4.0,4.0,4.0,12.0,0.0
8,4.0,0.0,20.0,24.0,0.0,4.0,4.0,276.0,4.0,32.0,16.0,0.0,4.0,4.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,4.0,8.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,20.0,16.0,4.0,8.0,8.0,0.0,8.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,24.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,12.0,0.0,0.0,8.0,0.0,4.0,0.0,8.0,12.0,8.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,152.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0
10,88.0,4.0,32.0,76.0,24.0,100.0,8.0,36.0,56.0,572.0,24.0,48.0,16.0,24.0,60.0,0.0,36.0,12.0,8.0,48.0,24.0,36.0,60.0,16.0,0.0,8.0,40.0,0.0,80.0,28.0,28.0,12.0,40.0,24.0,48.0,36.0,36.0,20.0,36.0,16.0,8.0,28.0,0.0,0.0,16.0,40.0,8.0,64.0,48.0,24.0,20.0,44.0,0.0,56.0,24.0,12.0,64.0,0.0,0.0,0.0,12.0,4.0,16.0,8.0,12.0,8.0,48.0,52.0,76.0,8.0,0.0,28.0,64.0,12.0,16.0,24.0,56.0,44.0,0.0,20.0,32.0,112.0,12.0,20.0,32.0,76.0,36.0,0.0,60.0,80.0,52.0,8.0
