GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population
06061023502,Census Tract 235.02,1,-121.28130298501632,38.84997948726013,3.811540199760953,1050.0,72.0,16.0,152.0,297.0,0.0,2517.0
06061023501,Census Tract 235.01,2,-121.23928110693721,38.85770594857605,1.3195173373673523,193.0,4.0,2.0,0.0,0.0,0.0,462.0
06061021326,Census Tract 213.26,3,-121.39341167671714,38.785036067525006,1.014948095503931,116.0,0.0,17.0,30.0,0.0,0.0,278.0
06061021328,Census Tract 213.28,4,-121.39883327393993,38.87618849826855,71.58985945675282,4451.0,78.0,206.0,79.0,48.0,0.0,10669.0
06061020607,Census Tract 206.07,5,-121.18006932202486,38.789394790841385,10.709908748048507,1527.0,692.0,57.0,85.0,215.0,0.0,3660.0
06061021324,Census Tract 213.24,6,-121.26468465845602,38.82397628671852,1.6054740843949198,1221.0,20.0,26.0,95.0,0.0,0.0,2926.0
06061020608,Census Tract 206.08,7,-121.14409682657157,38.82554257533148,8.223821258071464,548.0,21.0,66.0,48.0,8.0,0.0,1313.0
06061021325,Census Tract 213.25,8,-121.37087188086069,38.78391088439057,2.4686592378879846,408.0,4.0,19.0,82.0,81.0,0.0,978.0
06061021327,Census Tract 213.27,9,-121.42954594447481,38.76754650896793,24.838937658691176,136.0,3.0,18.0,0.0,0.0,0.0,326.0
06061021323,Census Tract 213.23,10,-121.28689923945433,38.82946245011564,3.424385132678218,1837.0,54.0,190.0,201.0,82.0,1.0,4403.0
06061021048,Census Tract 210.48,11,-121.34365184394501,38.75564619502883,0.42464061642476303,140.0,4.0,9.0,0.0,71.0,0.0,335.0
06061021047,Census Tract 210.47,12,-121.34609805190217,38.76191239968017,1.0091437721064604,761.0,170.0,14.0,232.0,64.0,0.0,1823.0
06061021103,Census Tract 211.03,13,-121.22797565879613,38.795651705244914,1.854896372745477,5187.0,1188.0,274.0,492.0,410.0,11.0,12433.0
06061021502,Census Tract 215.02,14,-121.05682944076585,38.92217292143803,2.878968332314936,1537.0,299.0,36.0,9.0,395.0,322.0,3683.0
06061021003,Census Tract 210.03,15,-121.2757091828616,38.76457043642463,2.941584917907036,8969.0,3163.0,973.0,469.0,1720.0,0.0,21499.0
06061020105,Census Tract 201.05,16,-120.10311510519591,39.23157344914481,10.986907100488647,302.0,9.0,11.0,0.0,89.0,6.0,723.0
06061020601,Census Tract 206.01,17,-121.13392532189285,38.76899309128778,17.73235949068195,885.0,52.0,92.0,64.0,158.0,0.0,2121.0
06061021304,Census Tract 213.04,18,-121.28740898518419,38.96739296918487,78.61300837366416,1103.0,20.0,45.0,27.0,6.0,0.0,2643.0
06061020606,Census Tract 206.06,19,-121.20753739201378,38.72158848392836,1.6005857053917802,679.0,291.0,47.0,12.0,71.0,0.0,1627.0
06061021401,Census Tract 214.01,20,-121.2874159857606,38.896446381003365,1.1642548412901605,2256.0,464.0,135.0,332.0,183.0,168.0,5408.0
06061020604,Census Tract 206.04,21,-121.19336888934689,38.75476066657149,4.457541009874385,1846.0,198.0,132.0,123.0,87.0,0.0,4425.0
06061021802,Census Tract 218.02,22,-121.05970481446583,38.947377288537965,8.29199678262657,7525.0,409.0,118.0,107.0,332.0,2870.0,18038.0
06061020605,Census Tract 206.05,23,-121.19563157996247,38.7330731325232,4.052276240103093,3132.0,115.0,205.0,466.0,387.0,0.0,7507.0
06061020300,Census Tract 203,24,-121.07489099929288,38.90505685878886,2.049905721689753,2810.0,519.0,323.0,670.0,298.0,40.0,6736.0
06061020107,Census Tract 201.07,25,-120.01418783014793,39.249692966130254,2.888350530620082,540.0,73.0,13.0,50.0,146.0,0.0,1294.0
06061020200,Census Tract 202,26,-120.57577095807729,39.08668789931519,566.639735607549,528.0,63.0,17.0,89.0,57.0,5.0,1265.0
06061021902,Census Tract 219.02,27,-121.02281602982072,39.0082771621045,9.718067571869991,486.0,57.0,21.0,68.0,23.0,27.0,1165.0
06061020106,Census Tract 201.06,28,-120.03984792550627,39.262804581779,8.685276296681641,493.0,61.0,17.0,9.0,90.0,0.0,1181.0
06061023000,Census Tract 230,29,-121.2959512152114,38.806389664688254,1.842974505687599,5946.0,382.0,548.0,299.0,680.0,0.0,14253.0
06061021203,Census Tract 212.03,30,-121.20080370827277,38.826152880176735,5.766663378842332,5895.0,293.0,274.0,380.0,275.0,23.0,14130.0
06061020501,Census Tract 205.01,31,-121.150332603411,38.890830297292986,10.383885635513213,836.0,88.0,32.0,60.0,43.0,7.0,2004.0
06061020717,Census Tract 207.17,32,-121.24549923638376,38.7523488743703,2.4439326224071314,21111.0,3317.0,1761.0,148.0,1248.0,159.0,50606.0
06061020901,Census Tract 209.01,33,-121.2932270081918,38.738149548826,0.6742790624939007,3315.0,164.0,229.0,86.0,206.0,1369.0,7946.0
06061021106,Census Tract 211.06,34,-121.2508769879744,38.79652165892004,0.830049879735526,511.0,96.0,55.0,72.0,110.0,0.0,1224.0
