origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1194.49,891.98,973.79,272.75,1018.05,438.65,288.51,497.67,786.85,346.31,476.68,148.57,406.91,173.62,416.78,620.48,465.37,487.83,583.1,1535.61,694.17,132.52,603.15,354.49,35.68,16.28
2,886.45,90.69,387.28,90.34,291.85,140.41,148.5,208.74,355.29,180.95,415.03,101.36,272.77,121.01,304.93,250.65,158.47,204.27,354.36,699.33,307.58,43.9,277.92,164.54,11.79,5.41
3,966.39,386.17,504.32,313.93,969.22,486.1,282.39,435.95,430.97,294.18,380.37,137.46,368.9,176.22,347.74,573.9,328.93,432.83,515.75,832.95,536.57,332.98,338.79,222.37,93.99,60.01
4,254.64,85.42,299.6,103.32,818.25,103.82,51.76,97.17,201.96,59.35,66.24,22.6,62.59,26.42,61.66,125.04,103.44,95.61,92.94,429.03,201.02,44.18,171.05,100.35,11.88,5.46
5,996.13,287.96,961.41,873.93,1747.76,377.86,189.57,369.86,684.1,219.69,235.99,81.62,225.72,94.78,227.5,491.88,454.94,363.43,339.03,1436.01,690.52,178.68,568.99,331.85,47.97,21.87
6,432.67,139.36,484.97,109.57,380.64,477.72,188.49,208.73,323.25,111.0,128.81,40.95,113.24,47.47,110.69,243.14,139.57,184.98,170.6,623.34,288.3,65.6,242.4,141.42,17.73,8.07
7,292.36,153.53,282.0,54.12,190.39,188.36,159.26,249.78,313.74,168.19,355.61,79.75,216.93,93.75,227.43,270.03,165.6,215.84,300.21,585.22,265.11,51.94,229.67,134.99,13.96,6.37
8,475.12,200.82,430.34,98.9,360.28,201.94,241.24,1195.74,770.69,737.13,317.44,171.88,327.98,127.26,297.18,521.72,305.92,417.93,438.11,1204.65,555.36,124.22,469.68,274.76,33.49,15.29
9,779.63,352.92,429.18,203.27,681.58,321.05,312.92,777.69,701.8,455.68,527.79,193.16,516.47,251.6,478.26,814.88,461.73,609.21,719.35,807.74,637.1,520.44,330.61,231.85,147.39,95.76
10,333.44,175.25,291.41,60.7,215.72,107.62,161.57,743.97,454.38,211.32,355.37,285.92,345.35,127.96,306.37,331.24,203.12,266.32,397.48,797.55,357.3,62.68,314.73,185.57,16.85,7.72
11,484.74,448.26,381.3,69.52,238.66,126.82,351.93,323.4,523.22,361.28,117.75,321.47,738.86,352.21,961.49,363.94,239.24,306.15,817.79,1011.69,439.92,54.01,403.77,239.68,14.47,6.66
12,134.32,92.38,120.48,21.38,74.65,36.95,71.79,163.92,169.35,274.37,299.57,16.95,249.4,85.41,215.5,120.92,77.51,100.53,223.06,337.05,146.98,18.83,134.33,79.67,5.05,2.32
