GEOID,NAMELSAD,zone_id,centroid_lon,centroid_lat,area_sq_mi,total_jobs,retail_jobs,health_jobs,education_jobs,accommodation_jobs,govt_jobs,est_population,households,worker_residents,area_share
06057000102,Census Tract 1.02,1,-121.0501290567619,39.1207155,7.746902095238611,3345,502,301,334,134,234,7117.0,2795.0,3368.0,1.0000000000000002
06057000104,Census Tract 1.04,2,-121.0649170807927,39.1499415,4.806952740206822,1579,237,142,158,63,111,3360.0,1424.0,1418.0,1.0000000000000009
06057000105,Census Tract 1.05,3,-121.10936413519022,39.0670805,17.001177717168435,1441,216,130,144,58,101,3066.9999999999973,1062.999999999999,1391.9999999999989,0.9999999999999991
06057000106,Census Tract 1.06,4,-121.04058633362897,39.0370365,8.516850918924078,936,140,84,94,37,66,1990.9999999999955,694.9999999999984,483.99999999999886,0.9999999999999977
06057000107,Census Tract 1.07,5,-121.02969195749995,39.0777835,19.51059161832338,3046,457,274,305,122,213,6479.999999999988,2529.9999999999955,2757.999999999995,0.9999999999999982
06057000200,Census Tract 2,6,-121.20159316142433,39.09483,75.67955822395699,1316,197,118,132,53,92,2798.9999999999955,1097.9999999999982,1251.999999999998,0.9999999999999983
06057000300,Census Tract 3,7,-121.10279302364124,39.169098500000004,22.646773662599507,1271,191,114,127,51,89,2704.9999999999995,1013.9999999999999,1270.9999999999998,0.9999999999999999
06057000401,Census Tract 4.01,8,-121.1933706412151,39.2395085,7.626252953619463,2559,384,230,256,102,179,5445.0,2258.0,1852.0,1.0000000000000007
06057000403,Census Tract 4.03,9,-121.2619174988772,39.159659,22.072491154384092,1067,160,96,107,43,75,2270.0,777.0,918.0,1.0000000000000002
06057000404,Census Tract 4.04,10,-121.1356503808214,39.237804,32.57002383059534,1761,264,158,176,70,123,3745.999999999991,1619.9999999999961,1327.9999999999968,0.9999999999999976
06057000502,Census Tract 5.02,11,-121.07595517507002,39.208591999999996,4.295436698464346,2335,350,210,234,93,163,4926.999999999985,2215.9999999999936,2594.9999999999927,0.9999999999999971
06057000503,Census Tract 5.03,12,-121.08537363825492,39.2336025,1.8767468504741043,897,135,81,90,36,63,1635.0,598.0,997.0,1.0000000000000004
06057000504,Census Tract 5.04,13,-121.05539059072166,39.232351,2.301014566818155,2375,356,214,238,95,166,5053.999999999999,2280.9999999999995,1768.9999999999995,0.9999999999999998
06057000601,Census Tract 6.01,14,-121.0265479833958,39.230064999999996,1.2359223232296466,1206,181,109,121,48,84,2566.0,1343.0,909.0,1.0000000000000007
06057000602,Census Tract 6.02,15,-121.04139862623273,39.210820999999996,4.475548835458772,2154,323,194,215,86,151,4583.0,2079.0,2057.0,1.0000000000000016
06057000701,Census Tract 7.01,16,-120.91719889714558,39.225989999999996,87.49775905030926,3467,520,312,347,139,243,7376.999999999979,2800.999999999992,3023.9999999999914,0.9999999999999971
06057000702,Census Tract 7.02,17,-121.00402890023474,39.157009,18.984475894226218,1943,291,175,194,78,136,4135.0,1708.0,1535.0,1.0000000000000007
06057000801,Census Tract 8.01,18,-120.9269328166616,39.3056905,61.3028718728292,2562,384,231,256,102,179,5450.0,2112.0,2304.0,1.0000000000000002
06057000802,Census Tract 8.02,19,-121.03182523660712,39.25721,11.165577537305156,3238,486,291,324,130,227,6889.0,3013.0,3466.0,1.0000000000000004
06057000900,Census Tract 9,20,-120.59734431496906,39.383887,512.9971055725991,1770,266,159,177,71,124,3765.0,1620.0,1800.0,1.0000000000000007
06057001205,Census Tract 12.05,21,-120.10655033285019,39.3507825,23.10704342654381,2390,358,215,239,96,167,5084.999999999996,1733.9999999999986,2613.999999999998,0.9999999999999992
06057001207,Census Tract 12.07,22,-120.16601136260721,39.3458585,4.425230122698579,2776,416,250,278,111,194,5881.999999999999,2028.9999999999995,3084.999999999999,0.9999999999999998
06057001208,Census Tract 12.08,23,-120.26986427937506,39.347159,8.043688661088293,794,119,71,79,32,56,1690.0,739.0,783.0,1.0000000000000013
06057001209,Census Tract 12.09,24,-120.20090584181114,39.328612,5.768059787518655,700,105,63,70,28,49,1488.9999999999986,686.9999999999994,767.9999999999993,0.9999999999999991
06057001210,Census Tract 12.10,25,-120.22920177069605,39.3590385,3.9650997105364922,791,119,71,79,32,55,1681.9999999999975,717.999999999999,859.9999999999987,0.9999999999999986
06057001211,Census Tract 12.11,26,-120.19264172718631,39.3493725,4.1767529616100765,533,80,48,53,21,37,1132.9999999999993,462.9999999999997,456.9999999999997,0.9999999999999993
