origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2986.22,2229.95,2434.47,681.87,2545.12,1096.62,721.27,1244.17,1967.12,865.77,1191.7,371.42,1017.27,434.04,1041.95,1551.19,1163.43,1219.56,1457.75,3839.03,1735.43,331.3,1507.87,886.22,89.19,40.69
2,2216.12,226.73,968.2,225.84,729.62,351.02,371.26,521.84,888.22,452.38,1037.57,253.41,681.93,302.51,762.32,626.62,396.18,510.67,885.89,1748.32,768.96,109.76,694.8,411.34,29.48,13.53
3,2415.98,965.43,1260.81,784.83,2423.05,1215.24,705.97,1089.87,1077.43,735.45,950.93,343.66,922.26,440.54,869.34,1434.76,822.32,1082.08,1289.39,2082.37,1341.42,832.46,846.99,555.93,234.98,150.03
4,636.59,213.55,749.01,258.3,2045.62,259.54,129.4,242.93,504.9,148.37,165.59,56.51,156.47,66.05,154.14,312.6,258.61,239.03,232.35,1072.58,502.55,110.44,427.62,250.88,29.69,13.64
5,2490.33,719.89,2403.53,2184.83,4369.4,944.64,473.93,924.66,1710.24,549.23,589.98,204.05,564.31,236.95,568.74,1229.7,1137.35,908.59,847.57,3590.02,1726.29,446.69,1422.48,829.63,119.92,54.68
6,1081.67,348.4,1212.42,273.92,951.59,1194.31,471.22,521.82,808.13,277.49,322.04,102.37,283.1,118.68,276.72,607.85,348.92,462.46,426.49,1558.36,720.74,163.99,605.99,353.56,44.33,20.16
7,730.9,383.83,705.01,135.3,475.97,470.9,398.16,624.46,784.35,420.48,889.03,199.37,542.33,234.37,568.58,675.07,414.01,539.6,750.53,1463.04,662.79,129.85,574.19,337.48,34.9,15.92
8,1187.79,502.04,1075.86,247.26,900.7,504.86,603.1,2989.36,1926.71,1842.83,793.59,429.7,819.95,318.14,742.94,1304.31,764.81,1044.83,1095.27,3011.63,1388.41,310.54,1174.21,686.9,83.72,38.23
9,1949.08,882.29,1072.95,508.18,1703.96,802.63,782.3,1944.23,1754.49,1139.2,1319.47,482.91,1291.18,629.0,1195.65,2037.21,1154.32,1523.04,1798.38,2019.34,1592.75,1301.09,826.53,579.62,368.47,239.4
10,833.6,438.12,728.51,151.75,539.3,269.04,403.92,1859.93,1135.94,528.31,888.43,714.79,863.38,319.89,765.92,828.09,507.8,665.81,993.69,1993.87,893.25,156.7,786.82,463.93,42.12,19.31
11,1211.85,1120.64,953.25,173.8,596.66,317.06,879.81,808.49,1308.04,903.2,294.39,803.68,1847.14,880.53,2403.73,909.84,598.09,765.37,2044.46,2529.23,1099.81,135.03,1009.42,599.19,36.19,16.64
12,335.8,230.96,301.2,53.45,186.63,92.38,179.47,409.8,423.38,685.92,748.92,42.38,623.5,213.53,538.76,302.3,193.77,251.32,557.64,842.63,367.45,47.07,335.81,199.17,12.62,5.79
13,1001.22,679.95,921.32,161.8,562.85,278.66,530.53,829.15,1298.38,864.68,1804.41,654.26,361.49,1347.51,1616.65,1070.15,662.02,907.05,2791.9,2614.39,1145.1,155.68,1041.18,617.44,41.72,19.23
14,422.93,289.73,439.64,68.26,237.11,117.32,224.55,326.78,632.26,324.05,780.27,226.35,1283.98,62.13,696.76,548.49,370.49,432.38,1886.82,1313.13,570.0,68.09,524.77,311.79,18.24,8.42
15,1036.78,756.01,872.34,161.97,580.0,277.83,562.83,779.45,1209.19,799.77,2278.44,594.6,1640.87,768.07,320.05,923.55,862.99,772.37,1886.39,2372.75,1039.38,141.53,944.49,559.86,37.94,17.44
16,1519.43,616.41,1430.92,324.78,1232.86,600.22,663.78,1344.87,2048.73,847.32,903.51,330.67,1082.32,542.88,897.74,6163.71,1446.44,1884.42,2190.59,4176.88,1956.87,497.46,1616.55,942.55,133.73,60.93
17,1125.51,384.26,815.46,274.98,1122.91,340.34,401.58,777.42,1156.92,512.19,585.69,208.17,660.03,362.68,833.4,1425.53,1605.08,863.7,1019.71,2291.42,1104.7,289.95,908.76,530.28,77.71,35.45
18,1186.59,528.8,1068.45,237.29,860.16,431.53,539.33,1053.46,1513.06,703.63,838.8,298.9,1036.72,479.74,823.86,1864.11,852.85,2549.52,2168.31,3167.11,1512.07,450.48,1216.75,710.28,119.77,54.66
19,1485.93,910.98,1304.29,249.18,876.16,434.92,762.56,1178.18,1826.74,1071.97,2069.02,645.31,3047.97,1813.46,1912.21,2263.89,1051.23,1933.57,981.87,3637.87,1618.9,270.77,1438.89,850.71,72.37,33.18
20,3836.2,1745.0,2082.59,1078.66,3606.08,1560.75,1463.6,3025.96,2027.36,1997.75,2548.36,979.23,2612.2,1309.02,2367.11,4187.67,2302.07,3287.51,3628.11,10177.0,3708.36,3346.05,1727.17,1233.89,944.71,605.36
21,1757.12,773.93,1354.32,514.61,1770.96,734.34,672.79,1421.38,1611.52,906.8,1117.54,429.57,1153.71,571.14,1044.62,2000.39,1133.77,1644.6,1629.9,3748.14,6108.68,7179.52,2156.23,1718.27,1158.68,765.65
22,348.79,114.31,841.23,120.54,483.55,174.23,138.26,337.41,1312.38,168.24,144.67,55.69,164.01,69.32,146.46,532.08,314.15,575.37,280.12,3365.51,7036.79,2795.82,2477.92,3553.4,1580.4,1951.08
23,1512.1,695.07,849.96,430.92,1434.75,609.39,576.31,1182.77,831.9,789.92,1018.75,391.43,1042.0,524.13,944.43,1627.83,916.6,1259.51,1439.9,1739.56,2145.34,2489.04,1128.64,718.61,1516.47,433.38
24,899.06,414.93,562.18,256.11,850.86,360.52,342.79,701.11,587.46,470.53,609.01,233.96,622.76,313.54,564.31,964.63,543.96,749.81,860.11,1259.1,1865.82,3141.98,777.49,421.48,628.23,349.01
25,97.03,31.74,239.38,33.46,134.08,48.63,38.41,93.88,374.08,46.72,40.12,15.45,45.46,19.21,40.62,147.74,86.98,158.18,77.47,957.88,1162.12,1625.65,1548.2,546.48,219.93,464.73
26,42.46,14.02,151.33,14.67,58.38,21.19,16.8,40.87,241.13,20.5,17.78,6.84,20.14,8.54,17.98,64.32,37.82,68.71,34.13,609.18,760.13,1960.0,431.05,318.55,448.88,41.59
