origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,993.4,994.56,819.79,229.84,1022.63,379.46,267.82,474.54,716.86,337.22,428.34,141.35,375.21,168.1,384.19,555.91,432.83,436.78,549.48,1445.14,624.18,97.62,549.01,321.95,30.9,12.26
2,985.2,79.51,349.15,83.7,213.3,133.59,139.3,190.35,321.5,169.15,366.61,88.36,246.93,107.58,257.78,217.16,133.94,189.51,313.11,658.53,278.61,32.42,254.06,150.1,10.21,4.08
3,814.31,349.05,505.35,338.76,823.24,490.25,258.59,417.39,398.82,277.81,337.3,127.04,334.76,163.54,316.3,535.7,307.04,396.46,476.93,795.37,494.32,302.06,311.39,203.72,87.57,54.86
4,215.54,79.73,321.84,103.04,683.43,104.22,46.19,97.05,186.48,57.84,55.85,21.3,55.4,25.24,55.83,117.45,103.81,83.84,87.04,423.93,184.03,36.08,156.67,91.37,11.37,4.54
5,1005.18,212.26,819.27,729.73,1738.61,317.24,162.4,366.28,630.12,210.77,194.3,75.73,195.39,89.13,203.59,457.64,422.95,311.34,312.44,1430.52,626.25,140.85,518.6,300.56,44.47,17.59
6,375.62,133.53,489.97,110.18,319.08,427.96,186.46,217.89,298.01,112.51,103.18,39.03,100.71,45.9,101.8,225.61,131.38,159.02,160.82,583.82,259.9,50.15,220.48,128.23,15.98,6.32
7,274.28,146.36,258.86,48.37,166.21,186.7,118.08,211.84,283.95,170.26,315.21,80.61,220.01,96.95,228.11,237.64,144.87,199.93,297.2,551.49,236.58,36.8,208.48,122.34,11.62,4.61
8,455.42,185.0,412.25,98.99,356.86,210.42,207.09,1395.03,753.55,436.23,279.69,113.87,247.49,112.26,250.73,484.23,284.41,367.37,384.15,1147.38,508.91,101.36,430.06,250.08,32.19,12.78
9,711.05,319.94,397.27,187.69,627.53,295.91,283.1,760.97,663.57,447.94,470.94,177.17,466.89,231.57,434.39,748.06,424.62,548.22,658.71,755.57,582.71,470.91,302.31,211.87,135.73,87.35
10,322.85,163.54,274.26,58.63,204.87,108.74,163.82,437.46,444.88,208.43,308.73,308.16,371.46,128.3,295.42,312.06,188.58,262.58,391.13,759.1,325.57,49.25,288.06,169.2,15.54,6.19
