origin_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,1181.02,914.91,866.53,214.06,859.1,400.21,276.07,455.45,730.68,307.28,423.22,141.04,371.33,166.91,381.35,573.78,437.9,457.95,552.24,1410.01,630.19,107.6,556.82,322.62,32.54,15.54
2,905.36,85.61,345.76,71.6,266.41,127.49,137.07,184.98,326.05,153.76,382.84,91.22,253.74,110.68,266.1,222.17,141.63,199.09,323.21,641.53,279.42,34.69,256.09,150.18,10.43,5.01
3,860.7,345.85,497.29,286.68,979.95,438.47,258.95,398.11,398.75,263.66,334.97,125.76,330.91,161.88,312.88,528.33,304.15,394.99,471.86,766.98,492.69,302.81,313.48,203.51,87.12,55.86
4,201.57,68.49,274.53,73.91,990.57,83.6,41.55,74.99,180.74,44.44,47.85,18.03,46.76,21.35,47.29,98.5,88.45,72.1,73.68,388.95,177.81,32.02,156.28,90.59,9.63,4.63
5,843.3,264.88,972.27,1060.15,1552.46,347.34,172.85,319.31,626.95,184.37,190.49,73.15,188.11,85.9,190.74,450.42,431.93,303.92,301.42,1314.51,622.32,144.57,524.88,300.14,43.5,20.76
6,396.7,127.68,438.67,87.95,350.54,503.84,179.14,190.15,301.11,102.15,100.37,38.08,97.62,44.61,99.01,226.48,132.01,162.02,157.72,573.48,261.92,54.24,224.33,128.43,16.51,7.87
7,281.37,143.18,259.05,43.3,173.8,178.93,160.99,232.34,292.15,154.9,273.6,76.06,203.98,90.65,211.32,251.11,155.9,211.11,287.11,537.82,241.06,42.56,212.19,122.85,12.84,6.13
8,433.95,178.43,392.58,75.81,309.36,182.75,222.85,1101.0,661.47,932.23,268.75,160.59,294.47,117.97,263.17,466.89,277.98,358.52,399.22,1098.96,497.95,96.45,431.92,248.75,29.21,13.97
9,724.87,324.61,397.32,181.65,624.81,299.0,291.4,668.0,698.19,439.32,476.77,178.77,470.56,233.3,438.59,755.23,429.86,557.64,665.34,744.14,584.43,474.67,305.76,212.05,136.2,88.77
10,293.22,148.26,260.33,44.82,178.8,98.34,148.61,934.25,435.45,185.95,270.5,252.57,319.66,112.31,258.31,283.03,175.22,242.25,346.44,728.21,321.55,47.83,289.25,168.68,14.41,6.91
11,441.99,410.35,339.33,51.66,199.71,105.73,299.58,290.91,481.52,287.3,94.03,265.82,836.15,338.71,929.1,310.47,205.59,313.17,771.77,926.18,398.56,40.81,371.34,218.87,12.23,5.88
12,125.61,82.19,109.54,16.65,65.68,33.69,67.1,151.27,156.02,241.03,240.73,16.96,291.55,78.12,191.66,108.72,70.06,103.85,206.3,309.77,134.05,15.15,123.9,72.84,4.55,2.18
13,357.52,256.77,327.14,46.38,180.07,92.02,195.87,281.71,468.96,304.98,954.03,291.69,109.07,439.63,718.21,329.43,206.12,338.95,919.26,951.25,410.06,43.16,381.35,224.72,12.92,6.23
14,157.8,103.3,160.08,21.32,83.14,42.64,83.79,117.87,232.89,111.45,300.69,81.62,438.4,24.87,249.63,190.83,128.04,197.02,740.47,482.83,208.12,21.92,193.58,114.1,6.55,3.16
15,375.63,263.56,312.56,48.74,190.49,97.45,204.83,272.39,441.3,267.98,918.28,211.61,702.25,279.91,116.74,320.14,300.57,313.93,690.14,869.6,377.03,43.82,347.75,204.39,13.14,6.31
16,559.7,218.58,525.8,101.2,456.58,221.65,244.75,480.25,757.56,290.93,296.15,120.27,352.24,193.62,314.67,2503.69,532.44,701.66,801.1,1531.57,707.13,161.6,597.19,341.18,48.81,23.28
17,421.38,137.29,300.82,93.21,435.77,127.49,149.74,281.69,429.55,177.45,193.94,76.02,217.27,128.41,293.32,524.28,684.34,318.97,372.64,842.89,401.03,95.95,336.38,192.02,28.86,13.77
18,454.33,199.23,395.57,75.22,306.07,160.97,208.74,375.91,562.3,254.26,304.64,116.97,371.26,195.98,313.35,703.44,323.41,801.87,904.54,1171.32,555.48,157.97,452.82,257.63,46.79,22.3
19,548.31,325.06,472.35,76.35,302.42,155.87,282.62,419.24,670.44,367.45,772.28,236.37,1051.38,710.1,691.73,809.33,375.94,925.78,374.64,1333.18,586.86,85.5,530.13,309.93,25.57,12.24
20,1412.39,641.5,768.39,391.14,1323.29,575.78,539.12,1107.02,748.45,731.31,931.3,360.92,954.71,482.8,869.67,1541.52,849.96,1179.45,1335.28,3904.52,1351.74,1210.55,637.8,448.18,347.85,224.14
21,642.43,282.62,499.47,182.33,643.51,268.87,246.24,513.23,593.2,328.3,403.78,157.73,416.85,210.05,381.18,730.18,416.25,576.31,596.61,1368.58,2153.15,2833.19,812.59,603.1,456.53,317.04
22,118.48,37.86,308.06,36.03,163.13,59.99,47.22,109.61,480.65,53.95,43.45,19.03,49.98,23.94,48.0,181.42,109.28,176.96,94.85,1220.85,2850.62,895.07,874.51,1473.48,576.69,676.87
23,559.8,256.64,315.27,157.57,531.08,226.25,213.47,436.28,308.41,291.03,374.28,144.74,382.95,193.86,348.47,603.82,340.89,459.1,532.42,642.81,803.99,861.53,449.89,245.2,575.77,167.57
24,322.94,150.08,203.89,90.8,301.48,128.78,123.01,249.52,212.82,168.92,220.27,84.93,224.84,113.98,204.26,342.49,192.98,259.18,310.12,449.99,613.36,1497.16,247.69,143.12,176.61,107.73
25,36.64,11.66,89.33,11.09,50.19,18.66,14.57,33.95,138.83,16.63,13.33,5.85,15.33,7.34,14.75,56.03,33.62,53.69,29.04,353.26,454.98,559.83,590.95,174.52,91.45,183.99
26,17.08,5.48,56.75,5.2,23.29,8.68,6.79,15.77,89.83,7.78,6.29,2.75,7.23,3.46,6.94,26.01,15.58,24.87,13.6,226.35,317.6,651.04,168.77,109.06,181.16,19.59
